index,position_x,position_y,position_z,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,lineID,bulbonline,Universe,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,globalposition_x,globalposition_y,globalposition_z,AmI_0axis_IndicatorGlobal,AmI_Yaxis_indicatorGlobal,AmI_Zaxis_indicatorGlobal,AmI_Xaxis_indicatorGlobal,AmI_Xaxis_indicatorLocal,AmI_Zaxis_indicatorLocal,AmI_0axis_IndicatorLocal,AmI_Yaxis_indicatorLocal
58,-1.3042,8.3002,5.4387,11.3429,1.2039,-1.2039,1,26,1,-0.6276,5.1169,4.8950,0.4963,-0.1706,6.3946,-1.7515,10.4044,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,-1.3707,8.6132,5.5509,11.3429,1.5493,-1.5493,1,27,1,-0.6276,5.1169,4.8950,0.4963,-0.1706,6.3946,-1.7515,10.4044,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,-1.4373,8.9262,5.6734,11.3429,1.9289,-1.9289,1,28,1,-0.6276,5.1169,4.8950,0.4963,-0.1706,6.3946,-1.7515,10.4044,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,-1.5038,9.2392,5.8065,11.3429,2.3253,-2.3253,1,29,1,-0.6276,5.1169,4.8950,0.4963,-0.1706,6.3946,-1.7515,10.4044,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,-1.5703,9.5522,5.9502,11.3429,2.6807,-2.6807,1,30,1,-0.6276,5.1169,4.8950,0.4963,-0.1706,6.3946,-1.7515,10.4044,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,-1.6369,9.8653,6.1046,11.3429,3.0863,-3.0863,1,31,1,-0.6276,5.1169,4.8950,0.4963,-0.1706,6.3946,-1.7515,10.4044,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,0.8325,0.4121,6.0973,11.3859,2.3451,-2.3451,2,0,2,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,0.7660,0.7251,5.9441,11.3859,1.9536,-1.9536,2,1,2,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,0.6994,1.0381,5.8012,11.3859,1.5947,-1.5947,2,2,2,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,0.6329,1.3511,5.6691,11.3859,1.4679,-1.4679,2,3,2,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,0.5664,1.6641,5.5473,11.3859,1.5185,-1.5185,2,4,2,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,0.4999,1.9771,5.4360,11.3859,1.7066,-1.7066,2,5,2,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,0.4333,2.2901,5.3350,11.3859,1.9676,-1.9676,2,6,2,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,0.3668,2.6031,5.2444,11.3859,2.2331,-2.2331,2,7,2,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,0.3003,2.9162,5.1641,11.3859,2.3504,-2.3504,2,8,2,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,0.2337,3.2292,5.0942,11.3859,2.3128,-2.3128,2,9,2,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
