ID,Panel,col,row,x 3d,y 3d,to steelwire,to ceiling,to floor,x 2d,y 2d,DMX universe,DMX bk,DMX address,sensor index,deflection_cm,to wall,sequence index,known dmx,known pos,Labels,RackID,DimID,DimPort
48,000-A,16,1,-0.639,5.170,0,2.414,3.981,0,0,0,0,49,0,91.4,5.351,16,1,1,row:2|pos:17|dim:1|id:49,0,1,1
49,000-A,17,1,-0.705,5.483,0,2.232,4.162,0,0,0,0,50,0,74.0,5.031,17,1,1,row:2|pos:18|dim:1|id:50,0,1,1
50,000-A,18,1,-0.772,5.796,0,2.037,4.358,0,0,0,0,51,0,56.2,4.711,18,1,1,row:2|pos:19|dim:1|id:51,0,1,1
51,000-A,19,1,-0.839,6.109,0,1.843,4.552,0,0,0,0,52,0,39.6,4.391,19,1,1,row:2|pos:20|dim:1|id:52,0,1,1
52,000-A,20,1,-0.905,6.422,0,1.695,4.700,0,0,0,0,53,0,28.7,4.071,20,1,1,row:2|pos:21|dim:1|id:53,0,1,1
53,000-A,21,1,-0.972,6.735,0,1.652,4.742,0,0,0,0,54,0,29.3,3.751,21,1,1,row:2|pos:22|dim:1|id:54,0,1,1
54,000-A,22,1,-1.038,7.048,0,1.673,4.721,0,0,0,0,55,0,37.4,3.431,22,1,1,row:2|pos:23|dim:1|id:55,0,1,1
55,000-A,23,1,-1.105,7.361,0,1.735,4.659,0,0,0,0,56,0,50.6,3.111,23,1,1,row:2|pos:24|dim:1|id:56,0,1,1
56,000-A,24,1,-1.171,7.674,0,1.813,4.582,0,0,0,0,57,0,66.4,2.791,24,1,1,row:2|pos:25|dim:1|id:57,0,1,1
57,000-A,25,1,-1.238,7.987,0,1.959,4.436,0,0,0,0,58,0,90.1,2.471,25,1,1,row:2|pos:26|dim:1|id:58,0,1,1
58,000-A,26,1,-1.304,8.300,0,2.160,4.235,0,0,0,0,59,0,120.4,2.151,26,1,1,row:2|pos:27|dim:1|id:59,0,1,1
59,000-A,27,1,-1.371,8.613,0,2.393,4.002,0,0,0,0,60,0,154.9,1.831,27,1,1,row:2|pos:28|dim:1|id:60,0,1,1
60,000-A,28,1,-1.437,8.926,0,2.650,3.744,0,0,0,0,61,0,192.9,1.511,28,1,1,row:2|pos:29|dim:1|id:61,0,1,1
61,000-A,29,1,-1.504,9.239,0,2.913,3.481,0,0,0,0,62,0,232.5,1.191,29,1,1,row:2|pos:30|dim:1|id:62,0,1,1
62,000-A,30,1,-1.570,9.552,0,3.125,3.269,0,0,0,0,63,0,268.1,0.871,30,1,1,row:2|pos:31|dim:1|id:63,0,1,1
63,000-A,31,1,-1.637,9.865,0,3.376,3.018,0,0,0,0,64,0,308.6,0.551,31,1,1,row:2|pos:32|dim:1|id:64,0,1,1
