index,position_x,position_y,position_z,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,LineID,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,AmI_Zaxis_indicator,AmI_Xaxis_indicator,AmI_0axis_Indicator,AmI_Yaxis_indicator
101,-1.189,9.920,6.032,11.553,2.772,-6.032,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
102,-1.245,10.184,6.204,11.553,3.083,-6.204,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
103,1.254,0.595,6.130,11.295,2.234,-6.130,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
104,1.198,0.858,5.957,11.295,1.920,-5.957,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
105,1.139,1.133,5.804,11.295,1.707,-5.804,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
106,1.081,1.407,5.650,11.295,1.605,-5.650,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
107,1.021,1.691,5.516,11.295,1.699,-5.516,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
108,0.960,1.978,5.386,11.295,1.838,-5.386,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
109,0.898,2.268,5.268,11.295,2.011,-5.268,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
110,0.835,2.564,5.163,11.295,2.211,-5.163,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
111,0.772,2.860,5.060,11.295,2.251,-5.060,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
112,0.708,3.164,4.981,11.295,2.222,-4.981,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
113,0.643,3.467,4.902,11.295,2.092,-4.902,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
114,0.578,3.774,4.842,11.295,1.886,-4.842,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
115,0.512,4.083,4.789,11.295,1.623,-4.789,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
116,0.447,4.392,4.746,11.295,1.385,-4.746,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
117,0.380,4.704,4.719,11.295,1.156,-4.719,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
118,0.314,5.016,4.693,11.295,0.976,-4.693,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
119,0.247,5.330,4.693,11.295,0.860,-4.693,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
120,0.181,5.643,4.693,11.295,0.696,-4.693,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
121,0.114,5.955,4.712,11.295,0.560,-4.712,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
122,0.048,6.267,4.738,11.295,0.386,-4.738,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
123,-0.018,6.578,4.773,11.295,0.207,-4.773,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
124,-0.084,6.887,4.827,11.295,0.099,-4.827,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
125,-0.149,7.196,4.880,11.295,0.115,-4.880,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
126,-0.214,7.499,4.958,11.295,0.238,-4.958,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
127,-0.278,7.803,5.038,11.295,0.319,-5.038,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
128,-0.342,8.102,5.133,11.295,0.480,-5.133,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
129,-0.405,8.397,5.237,11.295,0.701,-5.237,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
130,-0.467,8.690,5.349,11.295,0.912,-5.349,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
131,-0.528,8.976,5.478,11.295,1.172,-5.478,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
132,-0.589,9.262,5.608,11.295,1.414,-5.608,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
133,-0.647,9.538,5.759,11.295,1.709,-5.759,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
134,-0.705,9.812,5.912,11.295,2.068,-5.912,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
135,-0.762,10.079,6.078,11.295,2.450,-6.078,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
136,1.528,1.468,6.204,10.402,2.193,-6.204,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
137,1.475,1.720,6.014,10.402,2.266,-6.014,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
138,1.418,1.984,5.843,10.402,2.406,-5.843,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
139,1.362,2.252,5.677,10.402,2.536,-5.677,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
140,1.303,2.528,5.528,10.402,2.641,-5.528,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
141,1.243,2.809,5.387,10.402,2.623,-5.387,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
142,1.182,3.096,5.260,10.402,2.536,-5.260,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
143,1.120,3.389,5.146,10.402,2.388,-5.146,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
144,1.057,3.684,5.041,10.402,2.157,-5.041,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
145,0.993,3.985,4.954,10.402,1.835,-4.954,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
146,0.929,4.288,4.873,10.402,1.488,-4.873,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
147,0.863,4.596,4.815,10.402,1.172,-4.815,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
148,0.798,4.904,4.757,10.402,0.917,-4.757,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
149,0.732,5.215,4.728,10.402,0.771,-4.728,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
150,0.666,5.526,4.699,10.402,0.685,-4.699,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
151,0.599,5.839,4.694,10.402,0.609,-4.694,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
152,0.533,6.152,4.694,10.402,0.513,-4.694,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
153,0.466,6.463,4.713,10.402,0.376,-4.713,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
154,0.400,6.774,4.742,10.402,0.190,-4.742,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
155,0.334,7.084,4.785,10.402,0.258,-4.785,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
156,0.269,7.392,4.843,10.402,0.400,-4.843,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
157,0.204,7.698,4.910,10.402,0.580,-4.910,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
158,0.140,8.000,4.997,10.402,0.704,-4.997,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
159,0.076,8.299,5.087,10.402,0.790,-5.087,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
160,0.014,8.592,5.201,10.402,0.897,-5.201,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
161,-0.048,8.884,5.315,10.402,1.033,-5.315,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
162,-0.108,9.166,5.456,10.402,1.215,-5.456,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
163,-0.168,9.448,5.597,10.402,1.412,-5.597,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
164,-0.225,9.718,5.759,10.402,1.703,-5.759,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
165,-0.282,9.985,5.925,10.402,2.033,-5.925,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
166,-0.337,10.242,6.107,10.402,2.330,-6.107,4,0.582,5.918,4.694,1.582,1.217,6.395,-0.417,10.621,6.395,False,False,False,False
167,1.859,2.078,6.099,10.013,2.686,-6.099,5,0.982,6.202,4.694,1.937,1.708,6.395,0.027,10.695,6.395,False,False,False,False
168,1.805,2.331,5.911,10.013,2.781,-5.911,5,0.982,6.202,4.694,1.937,1.708,6.395,0.027,10.695,6.395,False,False,False,False
169,1.749,2.595,5.739,10.013,2.846,-5.739,5,0.982,6.202,4.694,1.937,1.708,6.395,0.027,10.695,6.395,False,False,False,False
170,1.692,2.863,5.575,10.013,2.777,-5.575,5,0.982,6.202,4.694,1.937,1.708,6.395,0.027,10.695,6.395,False,False,False,False
171,1.632,3.142,5.428,10.013,2.672,-5.428,5,0.982,6.202,4.694,1.937,1.708,6.395,0.027,10.695,6.395,False,False,False,False
172,1.573,3.423,5.289,10.013,2.512,-5.289,5,0.982,6.202,4.694,1.937,1.708,6.395,0.027,10.695,6.395,False,False,False,False
173,1.511,3.714,5.170,10.013,2.301,-5.170,5,0.982,6.202,4.694,1.937,1.708,6.395,0.027,10.695,6.395,False,False,False,False
174,1.449,4.006,5.056,10.013,1.975,-5.056,5,0.982,6.202,4.694,1.937,1.708,6.395,0.027,10.695,6.395,False,False,False,False
175,1.385,4.306,4.966,10.013,1.595,-4.966,5,0.982,6.202,4.694,1.937,1.708,6.395,0.027,10.695,6.395,False,False,False,False
