index,position_x,position_y,position_z,pitchy,pitchx,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,LineID,Universe,bulbonline,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,AmI_Yaxis_indicatorLocal,AmI_Xaxis_indicatorLocal,AmI_0axis_IndicatorLocal,AmI_Zaxis_indicatorLocal,AmI_0axis_IndicatorGlobal,AmI_Zaxis_indicatorGlobal,AmI_Yaxis_indicatorGlobal,AmI_Xaxis_indicatorGlobal
40,0.056,1.902,5.282,0.320,0.450,11.512,1.242,-1.242,1,2,6,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
41,-0.007,2.199,5.180,0.320,0.450,11.512,1.414,-1.414,1,2,7,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
42,-0.070,2.495,5.077,0.320,0.450,11.512,1.735,-1.735,1,2,8,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
43,-0.135,2.798,4.997,0.320,0.450,11.512,1.953,-1.953,1,2,9,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
44,-0.199,3.102,4.919,0.320,0.450,11.512,2.035,-2.035,1,2,10,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
45,-0.264,3.408,4.855,0.320,0.450,11.512,1.945,-1.945,1,2,11,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
46,-0.330,3.717,4.803,0.320,0.450,11.512,1.735,-1.735,1,2,12,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
47,-0.396,4.026,4.753,0.320,0.450,11.512,1.399,-1.399,1,2,13,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
48,-0.462,4.338,4.727,0.320,0.450,11.512,1.151,-1.151,1,2,14,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
49,-0.528,4.650,4.701,0.320,0.450,11.512,0.993,-0.993,1,2,15,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
50,-0.595,4.962,4.693,0.320,0.450,11.512,0.903,-0.903,1,1,16,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
51,-0.661,5.275,4.693,0.320,0.450,11.512,0.713,-0.713,1,1,17,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
52,-0.728,5.588,4.701,0.320,0.450,11.512,0.454,-0.454,1,1,18,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
53,-0.794,5.899,4.728,0.320,0.450,11.512,0.261,-0.261,1,1,19,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
54,-0.860,6.211,4.754,0.320,0.450,11.512,0.123,-0.123,1,1,20,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
55,-0.926,6.521,4.803,0.320,0.450,11.512,0.080,-0.080,1,1,21,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
56,-0.992,6.830,4.855,0.320,0.450,11.512,0.111,-0.111,1,1,22,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
57,-1.057,7.136,4.920,0.320,0.450,11.512,0.216,-0.216,1,1,23,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
58,-1.121,7.440,4.998,0.320,0.450,11.512,0.354,-0.354,1,1,24,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
59,-1.186,7.743,5.079,0.320,0.450,11.512,0.525,-0.525,1,1,25,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
60,-1.249,8.040,5.181,0.320,0.450,11.512,0.778,-0.778,1,1,26,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
61,-1.312,8.337,5.284,0.320,0.450,11.512,1.078,-1.078,1,1,27,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
62,-1.374,8.627,5.405,0.320,0.450,11.512,1.415,-1.415,1,1,28,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
63,-1.435,8.914,5.532,0.320,0.450,11.512,1.777,-1.777,1,1,29,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
64,-1.495,9.198,5.666,0.320,0.450,11.512,2.155,-2.155,1,1,30,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
65,-1.554,9.475,5.817,0.320,0.450,11.512,2.493,-2.493,1,1,31,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
66,-1.613,9.752,5.968,0.320,0.450,11.512,2.850,-2.850,1,1,32,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
67,-1.669,10.016,6.139,0.320,0.450,11.512,3.227,-3.227,1,1,33,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
68,0.895,0.120,6.222,0.320,0.450,11.556,2.679,-2.679,2,2,0,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
69,0.839,0.383,6.050,0.320,0.450,11.556,2.319,-2.319,2,2,1,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
70,0.781,0.655,5.890,0.320,0.450,11.556,1.948,-1.948,2,2,2,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
71,0.722,0.931,5.740,0.320,0.450,11.556,1.604,-1.604,2,2,3,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
72,0.663,1.210,5.595,0.320,0.450,11.556,1.398,-1.398,2,2,4,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
73,0.602,1.497,5.468,0.320,0.450,11.556,1.324,-1.324,2,2,5,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
74,0.541,1.785,5.341,0.320,0.450,11.556,1.399,-1.399,2,2,6,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
75,0.478,2.079,5.234,0.320,0.450,11.556,1.622,-1.622,2,2,7,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
76,0.415,2.376,5.132,0.320,0.450,11.556,1.861,-1.861,2,2,8,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
77,0.352,2.675,5.038,0.320,0.450,11.556,2.068,-2.068,2,2,9,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
78,0.287,2.979,4.961,0.320,0.450,11.556,2.180,-2.180,2,2,10,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
79,0.222,3.282,4.884,0.320,0.450,11.556,2.104,-2.104,2,2,11,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
80,0.157,3.591,4.831,0.320,0.450,11.556,1.939,-1.939,2,2,12,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
81,0.091,3.900,4.779,0.320,0.450,11.556,1.679,-1.679,2,2,13,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
82,0.025,4.210,4.742,0.320,0.450,11.556,1.379,-1.379,2,2,14,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
83,-0.041,4.522,4.716,0.320,0.450,11.556,1.154,-1.154,2,2,15,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
84,-0.107,4.834,4.693,0.320,0.450,11.556,1.025,-1.025,2,2,16,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
85,-0.174,5.147,4.693,0.320,0.450,11.556,0.922,-0.922,2,1,17,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
86,-0.240,5.460,4.693,0.320,0.450,11.556,0.739,-0.739,2,1,18,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
87,-0.307,5.772,4.713,0.320,0.450,11.556,0.490,-0.490,2,1,19,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
