index,position_x,position_y,position_z,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,LineID,bulbonline,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,AmI_Yaxis_indicator,AmI_Xaxis_indicator,AmI_0axis_Indicator,AmI_Zaxis_indicator
17,-1.082,5.093,4.693,11.472,0.733,-4.693,0,17,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
18,-1.149,5.406,4.693,11.472,0.501,-4.693,0,18,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
19,-1.215,5.718,4.717,11.472,0.303,-4.717,0,19,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
20,-1.282,6.030,4.743,11.472,0.157,-4.743,0,20,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
21,-1.348,6.341,4.782,11.472,0.103,-4.782,0,21,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
22,-1.413,6.650,4.834,11.472,0.123,-4.834,0,22,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
23,-1.479,6.958,4.889,11.472,0.194,-4.889,0,23,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
24,-1.544,7.262,4.967,11.472,0.341,-4.967,0,24,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
25,-1.608,7.566,5.045,11.472,0.528,-5.045,0,25,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
26,-1.672,7.864,5.140,11.472,0.774,-5.140,0,26,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
27,-1.735,8.160,5.243,11.472,1.063,-5.243,0,27,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
28,-1.797,8.454,5.354,11.472,1.388,-5.354,0,28,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
29,-1.858,8.741,5.482,11.472,1.745,-5.482,0,29,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
30,-1.919,9.029,5.610,11.472,2.098,-5.610,0,30,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
31,-1.978,9.305,5.759,11.472,2.451,-5.759,0,31,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
32,-2.037,9.581,5.910,11.472,2.789,-5.910,0,32,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
33,-2.094,9.850,6.073,11.472,3.115,-6.073,0,33,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
34,0.412,0.224,6.135,11.512,2.520,-6.135,1,0,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
35,0.356,0.489,5.964,11.512,2.054,-5.964,1,1,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
36,0.297,0.765,5.814,11.512,1.633,-5.814,1,2,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
37,0.239,1.041,5.663,11.512,1.230,-5.663,1,3,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
38,0.178,1.325,5.529,11.512,1.089,-5.529,1,4,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
39,0.117,1.612,5.402,11.512,1.118,-5.402,1,5,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
40,0.056,1.903,5.282,11.512,1.242,-5.282,1,6,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
41,-0.007,2.199,5.180,11.512,1.414,-5.180,1,7,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
42,-0.070,2.495,5.077,11.512,1.735,-5.077,1,8,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
43,-0.135,2.798,4.997,11.512,1.953,-4.997,1,9,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
44,-0.199,3.102,4.919,11.512,2.035,-4.919,1,10,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
45,-0.264,3.409,4.855,11.512,1.945,-4.855,1,11,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
46,-0.330,3.717,4.803,11.512,1.735,-4.803,1,12,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
47,-0.396,4.026,4.753,11.512,1.399,-4.753,1,13,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
48,-0.462,4.339,4.727,11.512,1.151,-4.727,1,14,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
49,-0.528,4.651,4.701,11.512,0.992,-4.701,1,15,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
50,-0.595,4.964,4.693,11.512,0.902,-4.693,1,16,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
51,-0.662,5.277,4.693,11.512,0.712,-4.693,1,17,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
52,-0.728,5.590,4.702,11.512,0.452,-4.702,1,18,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
53,-0.794,5.902,4.728,11.512,0.260,-4.728,1,19,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
54,-0.861,6.214,4.754,11.512,0.122,-4.754,1,20,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
55,-0.926,6.523,4.804,11.512,0.080,-4.804,1,21,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
56,-0.992,6.832,4.856,11.512,0.111,-4.856,1,22,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
57,-1.057,7.139,4.921,11.512,0.217,-4.921,1,23,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
58,-1.122,7.442,4.999,11.512,0.355,-4.999,1,24,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
59,-1.186,7.745,5.079,11.512,0.527,-5.079,1,25,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
60,-1.249,8.042,5.182,11.512,0.779,-5.182,1,26,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
61,-1.312,8.338,5.285,11.512,1.079,-5.285,1,27,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
62,-1.374,8.628,5.405,11.512,1.416,-5.405,1,28,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
63,-1.435,8.916,5.532,11.512,1.779,-5.532,1,29,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
64,-1.496,9.200,5.667,11.512,2.158,-5.667,1,30,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
65,-1.554,9.476,5.817,11.512,2.494,-5.817,1,31,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
66,-1.613,9.752,5.968,11.512,2.850,-5.968,1,32,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
67,-1.669,10.016,6.139,11.512,3.227,-6.139,1,33,-0.627,5.116,4.693,0.496,-0.171,6.395,-1.751,10.404,6.395,False,False,False,False
68,0.895,0.120,6.222,11.553,2.679,-6.222,2,0,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
69,0.839,0.383,6.050,11.553,2.319,-6.050,2,1,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
70,0.781,0.655,5.890,11.553,1.948,-5.890,2,2,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
71,0.722,0.931,5.740,11.553,1.603,-5.740,2,3,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
72,0.663,1.210,5.595,11.553,1.398,-5.595,2,4,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
73,0.602,1.497,5.468,11.553,1.324,-5.468,2,5,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
74,0.541,1.785,5.342,11.553,1.399,-5.342,2,6,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
75,0.478,2.079,5.234,11.553,1.622,-5.234,2,7,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
76,0.415,2.376,5.132,11.553,1.861,-5.132,2,8,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
77,0.352,2.675,5.038,11.553,2.068,-5.038,2,9,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
78,0.287,2.979,4.961,11.553,2.180,-4.961,2,10,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
79,0.222,3.283,4.884,11.553,2.104,-4.884,2,11,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
80,0.157,3.591,4.831,11.553,1.938,-4.831,2,12,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
81,0.091,3.900,4.779,11.553,1.678,-4.779,2,13,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
82,0.025,4.211,4.742,11.553,1.379,-4.742,2,14,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
83,-0.041,4.523,4.716,11.553,1.153,-4.716,2,15,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
84,-0.108,4.835,4.693,11.553,1.024,-4.693,2,16,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
85,-0.174,5.148,4.693,11.553,0.921,-4.693,2,17,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
86,-0.241,5.462,4.693,11.553,0.735,-4.693,2,18,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
87,-0.307,5.774,4.713,11.553,0.487,-4.713,2,19,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
88,-0.374,6.086,4.739,11.553,0.282,-4.739,2,20,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
89,-0.440,6.397,4.773,11.553,0.122,-4.773,2,21,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
90,-0.505,6.706,4.825,11.553,0.046,-4.825,2,22,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
91,-0.571,7.015,4.877,11.553,0.064,-4.877,2,23,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
92,-0.636,7.320,4.953,11.553,0.152,-4.953,2,24,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
93,-0.700,7.624,5.030,11.553,0.234,-5.030,2,25,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
94,-0.764,7.924,5.121,11.553,0.407,-5.121,2,26,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
95,-0.827,8.220,5.223,11.553,0.663,-5.223,2,27,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
96,-0.890,8.515,5.328,11.553,0.950,-5.328,2,28,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
97,-0.951,8.804,5.455,11.553,1.274,-5.455,2,29,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
98,-1.012,9.092,5.581,11.553,1.608,-5.581,2,30,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
99,-1.072,9.371,5.725,11.553,1.969,-5.725,2,31,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
100,-1.131,9.648,5.875,11.553,2.362,-5.875,2,32,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
101,-1.189,9.920,6.032,11.553,2.772,-6.032,2,33,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
102,-1.245,10.184,6.204,11.553,3.083,-6.204,2,34,-0.178,5.165,4.693,0.951,-0.144,6.395,-1.306,10.475,6.395,False,False,False,False
103,1.254,0.595,6.130,11.295,2.234,-6.130,3,0,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
104,1.198,0.858,5.957,11.295,1.920,-5.957,3,1,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
105,1.139,1.133,5.804,11.295,1.707,-5.804,3,2,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
106,1.081,1.407,5.650,11.295,1.605,-5.650,3,3,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
107,1.021,1.691,5.516,11.295,1.699,-5.516,3,4,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
108,0.960,1.977,5.386,11.295,1.838,-5.386,3,5,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
109,0.898,2.268,5.268,11.295,2.011,-5.268,3,6,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
110,0.835,2.564,5.163,11.295,2.211,-5.163,3,7,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
111,0.772,2.860,5.060,11.295,2.251,-5.060,3,8,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
112,0.708,3.163,4.981,11.295,2.222,-4.981,3,9,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
113,0.643,3.467,4.902,11.295,2.092,-4.902,3,10,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
114,0.578,3.774,4.842,11.295,1.886,-4.842,3,11,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
115,0.512,4.082,4.789,11.295,1.623,-4.789,3,12,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
116,0.447,4.392,4.746,11.295,1.385,-4.746,3,13,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
117,0.380,4.704,4.719,11.295,1.156,-4.719,3,14,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
118,0.314,5.016,4.693,11.295,0.976,-4.693,3,15,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
119,0.247,5.329,4.693,11.295,0.860,-4.693,3,16,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
120,0.181,5.643,4.693,11.295,0.696,-4.693,3,17,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
121,0.114,5.955,4.712,11.295,0.560,-4.712,3,18,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
122,0.048,6.267,4.738,11.295,0.386,-4.738,3,19,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
123,-0.018,6.578,4.773,11.295,0.207,-4.773,3,20,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
124,-0.084,6.887,4.827,11.295,0.099,-4.827,3,21,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
125,-0.149,7.196,4.880,11.295,0.115,-4.880,3,22,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
126,-0.214,7.499,4.958,11.295,0.238,-4.958,3,23,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
127,-0.278,7.803,5.038,11.295,0.319,-5.038,3,24,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
128,-0.342,8.102,5.133,11.295,0.480,-5.133,3,25,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
129,-0.405,8.397,5.237,11.295,0.701,-5.237,3,26,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
130,-0.467,8.690,5.349,11.295,0.912,-5.349,3,27,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
131,-0.528,8.976,5.478,11.295,1.172,-5.478,3,28,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
132,-0.589,9.262,5.608,11.295,1.414,-5.608,3,29,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
133,-0.647,9.538,5.759,11.295,1.709,-5.759,3,30,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
134,-0.705,9.812,5.912,11.295,2.067,-5.912,3,31,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
135,-0.762,10.079,6.078,11.295,2.450,-6.078,3,32,0.237,5.376,4.693,1.337,0.203,6.395,-0.862,10.547,6.395,False,False,False,False
136,1.527,1.472,6.051,10.396,2.044,-6.051,4,0,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
137,1.473,1.727,5.866,10.396,2.125,-5.866,4,1,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
138,1.416,1.995,5.701,10.396,2.276,-5.701,4,2,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
139,1.359,2.265,5.540,10.396,2.410,-5.540,4,3,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
140,1.299,2.544,5.396,10.396,2.524,-5.396,4,4,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
141,1.239,2.828,5.261,10.396,2.503,-5.261,4,5,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
142,1.178,3.117,5.139,10.396,2.413,-5.139,4,6,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
143,1.115,3.411,5.030,10.396,2.263,-5.030,4,7,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
144,1.052,3.709,4.931,10.396,2.036,-4.931,4,8,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
145,0.988,4.012,4.850,10.396,1.709,-4.850,4,9,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
146,0.923,4.316,4.774,10.396,1.366,-4.774,4,10,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
147,0.857,4.625,4.722,10.396,1.059,-4.722,4,11,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
148,0.792,4.934,4.669,10.396,0.819,-4.669,4,12,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
149,0.725,5.246,4.645,10.396,0.675,-4.645,4,13,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
150,0.659,5.559,4.622,10.396,0.597,-4.622,4,14,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
151,0.592,5.871,4.622,10.396,0.530,-4.622,4,15,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
152,0.526,6.184,4.628,10.396,0.431,-4.628,4,16,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
153,0.460,6.496,4.653,10.396,0.296,-4.653,4,17,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
154,0.393,6.807,4.687,10.396,0.112,-4.687,4,18,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
155,0.328,7.116,4.736,10.396,0.218,-4.736,4,19,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
156,0.263,7.423,4.798,10.396,0.374,-4.798,4,20,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
157,0.198,7.727,4.871,10.396,0.541,-4.871,4,21,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
158,0.134,8.027,4.962,10.396,0.672,-4.962,4,22,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
159,0.071,8.325,5.058,10.396,0.760,-5.058,4,23,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
160,0.009,8.616,5.176,10.396,0.871,-5.176,4,24,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
161,-0.053,8.906,5.295,10.396,1.015,-5.295,4,25,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
162,-0.112,9.185,5.439,10.396,1.202,-5.439,4,26,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
163,-0.171,9.464,5.584,10.396,1.404,-5.584,4,27,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
164,-0.228,9.731,5.750,10.396,1.702,-5.750,4,28,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
165,-0.284,9.996,5.920,10.396,2.032,-5.920,4,29,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
166,-0.338,10.250,6.106,10.396,2.333,-6.106,4,30,0.576,5.948,4.624,1.582,1.217,6.237,-0.417,10.621,6.395,False,False,False,False
167,1.853,2.103,5.417,9.993,2.041,-5.417,5,0,0.955,6.328,4.386,1.937,1.708,5.675,0.027,10.695,6.395,False,False,False,False
168,1.796,2.373,5.256,9.993,2.165,-5.256,5,1,0.955,6.328,4.386,1.937,1.708,5.675,0.027,10.695,6.395,False,False,False,False
169,1.737,2.652,5.109,9.993,2.237,-5.109,5,2,0.955,6.328,4.386,1.937,1.708,5.675,0.027,10.695,6.395,False,False,False,False
170,1.677,2.934,4.972,9.993,2.202,-4.972,5,3,0.955,6.328,4.386,1.937,1.708,5.675,0.027,10.695,6.395,False,False,False,False
171,1.615,3.224,4.852,9.993,2.098,-4.852,5,4,0.955,6.328,4.386,1.937,1.708,5.675,0.027,10.695,6.395,False,False,False,False
172,1.553,3.517,4.740,9.993,1.935,-4.740,5,5,0.955,6.328,4.386,1.937,1.708,5.675,0.027,10.695,6.395,False,False,False,False
173,1.489,3.817,4.648,9.993,1.711,-4.648,5,6,0.955,6.328,4.386,1.937,1.708,5.675,0.027,10.695,6.395,False,False,False,False
